trial_seed,snapshot_index,failed_edge,failed_edge_betweenness,failed_edge_utilization,baseline_time,failure_time,failure_pct_change,emergency_od,found_divergent_route,routing_improvement_pct,price_of_priority_pct
0,3155,"(114, 143)",0.0009734500837096451,0.5702523150834524,1112014.4287870165,1112396.6230303876,0.03436953995173586,"(166, 164)",True,0.0018457257487581311,0.024023820786440435
1,1100,"(166, 101)",0.002183743433153688,0.35935301414631093,1046696.330889193,1046851.016612039,0.01477847187202296,"(24, 94)",True,0.000278769404635917,0.09042754154267973
2,463,"(27, 2)",0.0013202496291346121,0.2120088463116484,1131295.0539888842,1131695.0065857002,0.03535351767037172,"(100, 72)",False,0.0,0.11198792191272083
3,1949,"(171, 85)",0.0009495901733324724,0.0734238099653981,1046401.0485965684,1046492.35483884,0.008725740708499777,"(166, 164)",True,0.02666856862881182,0.2738236898216905
4,1933,"(90, 83)",0.004230413089055782,0.18801015781830674,1039649.3205579423,1046548.4749249446,0.6636039894009436,"(1, 206)",True,0.2609283001127046,0.13010796478007142
5,5102,"(75, 81)",0.02245329614448707,0.40680298428534956,1030762.587741888,1033793.5586090761,0.29405130756909537,"(100, 72)",False,0.0,0.17731784864074987
6,6499,"(176, 40)",0.0021607394807557747,0.18801015781830674,1223235.520374802,1223505.3477334804,0.022058496028285156,"(166, 164)",True,0.03557070661150085,0.7238163916751542
7,2652,"(49, 129)",0.004835441123148079,0.4689986065526254,1108243.9749090234,1114287.7378422928,0.5453458868355692,"(100, 72)",False,0.0,0.19386953178099267
8,1857,"(105, 106)",0.00021022799410304687,0.2120088463116484,1954248.5576233817,1954829.1825097725,0.02971090264469059,"(100, 72)",False,0.0,0.17411739589666522
9,3792,"(177, 7)",0.004636994986612853,0.43449070149765534,2204491.133446988,2209826.549393257,0.24202483127824492,"(166, 164)",True,0.02403888951826089,0.036445175326899185
10,4680,"(7, 27)",0.0008030908384109595,0.21917487185572782,1071934.69267637,1072372.4776455932,0.040840638167065096,"(100, 72)",False,0.0,0.19193824554105757
11,3705,"(166, 101)",0.002183743433153688,0.1480161474459282,2212730.7262831926,2212074.917525338,-0.029637983061599742,"(100, 72)",False,0.0,0.1685520375954395
12,3887,"(81, 146)",0.0003124546805494131,0.11949340077752303,2011197.2186264265,2011940.1386412794,0.03693919263473712,"(40, 58)",True,0.004210309661135228,0.018929479562269137
13,2121,"(86, 87)",0.004333254977627515,0.11949340077752303,1026821.0760547338,1027957.79199221,0.11070243531070137,"(166, 164)",True,0.017021580876520188,0.3588895670684238
15,1711,"(1, 2)",0.001288593174162923,0.251454812958202,1047708.8783895816,1053304.4054985016,0.5340727013329165,"(166, 164)",True,0.019835518235819125,0.24029893886342502
16,2961,"(120, 139)",0.0020500106010493233,0.2567573710681618,1040932.7050186865,1042013.7046837934,0.10384914028495952,"(1, 206)",True,0.2224092453157161,0.09062698134438166
17,4276,"(115, 142)",0.0022114084380851808,0.2278472911790222,1020936.259325679,1021083.2970893184,0.014402247182059201,"(166, 164)",True,0.0004228216077034881,0.3607489157313558
19,5547,"(12, 191)",0.00018235336377046615,0.32497755639293346,1125232.593874545,1126110.836534642,0.07804987741003563,"(40, 58)",True,0.0006282149262032975,0.03787593090508228
20,5921,"(196, 101)",0.0022444321118080114,0.25501426023742646,1034427.8965693386,1034668.7734195525,0.023285997120990182,"(166, 164)",True,0.0018385661155998867,0.07276821010980827
21,1351,"(120, 139)",0.0020500106010493233,0.2567573710681618,1047162.7546200847,1048243.7542851918,0.10323129430814257,"(100, 72)",False,0.0,0.17419171084850582
22,1149,"(72, 141)",0.013630048132727958,0.2713629369842017,1062943.2223861606,1062675.4365121203,-0.025192867163609113,"(24, 94)",True,0.0013456294191268247,0.08407493346885282
23,6384,"(91, 16)",0.0006732283479623155,0.21754379359442333,1184319.2229652226,1185532.9140207563,0.1024800604430744,"(77, 20)",True,0.5288012270511394,0.20616634263661954
24,5835,"(114, 143)",0.0009734500837096451,0.26304759589192606,1044592.3061091205,1045781.178015736,0.1138120489364746,"(100, 72)",False,0.0,0.17560604345891798
25,3088,"(2, 183)",0.00013249847568125322,0.2120088463116484,1087968.6948472082,1088514.7777128515,0.05019288406271704,"(166, 164)",True,0.00039284875999757497,0.026260465197585816
26,6121,"(69, 75)",0.006312837840472012,0.40680298428534956,1055716.6771230856,1057483.3755445695,0.1673458854792611,"(100, 72)",False,0.0,0.1683601481632256
27,5312,"(135, 177)",0.00021190516723244523,0.21531582964192753,1176729.518467172,1177782.3145823972,0.08946797872433515,"(100, 72)",False,0.0,0.2908630101910534
28,925,"(37, 42)",0.0012782170706029294,0.2893032680516953,1192078.7694046358,1192157.8153833956,0.006630935873420457,"(24, 94)",True,0.39980617407286256,0.35514288394300114
29,4490,"(27, 2)",0.0013202496291346121,0.2120088463116484,1190823.492604312,1191223.4452011283,0.033586219897421096,"(166, 164)",True,0.04753278151473956,0.7618392796783304
30,4416,"(90, 83)",0.004230413089055782,0.18801015781830674,1062049.6331620268,1068948.7875290292,0.6496075278950628,"(160, 70)",True,0.0009887397958147635,0.017719839237122895
31,100,"(138, 30)",0.0005849933896296704,0.10580268453720569,1081078.929298286,1081156.6770746782,0.007191683630594285,"(1, 206)",True,0.22625669736307646,0.11859776584982788
32,634,"(56, 170)",0.015768840213477766,0.10580268453720569,1216963.8956369755,1217032.7434716849,0.005657344063876057,"(166, 164)",True,2.7172642027502868e-05,0.4410841707831856
33,4672,"(56, 48)",0.05072827607203693,0.251454812958202,1108437.1377335386,1118058.8379244173,0.8680420263211808,"(100, 72)",True,2.32561541338769e-05,0.08894816602259654
34,4333,"(102, 98)",0.002856936161657578,0.2808743005240243,1021513.7057074468,1021775.4951770825,0.025627602270338067,"(1, 206)",True,0.30108347943825975,0.12963716145008633
35,4494,"(95, 120)",0.0017798679945201987,0.3845617051261703,1212939.1106391666,1218461.2702296919,0.45527096472430345,"(166, 164)",True,0.002776484309835904,0.5139937334726815
36,2692,"(20, 32)",0.0008778554094310997,0.05499947191554289,1038989.4954816991,1039172.4702284904,0.0176108370283826,"(100, 72)",False,0.0,0.15147306088685433
37,5586,"(170, 64)",0.0019342880716910807,0.05625268880566674,1176186.7269712328,1176311.2154266704,0.010584072459154199,"(166, 164)",True,1.7721298813774866,0.023439658613554126
38,5238,"(117, 102)",0.007748963120177908,0.550160243988146,1082232.421440704,1098933.4085686784,1.543197819350254,"(100, 72)",False,0.0,0.19039980825081526
39,1719,"(81, 104)",0.018736391117670937,0.28730958350782654,1048191.6686686235,1053435.2514242064,0.5002503752241314,"(166, 164)",True,0.02666856862881182,0.27201899460337003
40,3756,"(169, 168)",0.00021650905011730902,0.2454901247493283,2213714.832870312,2227228.7622882184,0.6104638780589509,"(166, 164)",True,0.01497686646352807,0.1176585316605355
41,3121,"(95, 120)",0.0017798679945201987,0.29857682982666006,1101743.2162226252,1102583.8792419997,0.07630299029720633,"(24, 94)",True,0.037501754503683024,0.43164585388811744
42,5238,"(36, 115)",0.00021264595319860966,0.10604696916630778,1082232.421440704,1082366.3008327144,0.012370669124121035,"(100, 72)",False,0.0,0.19340425950976523
43,315,"(91, 138)",0.0006149834252733696,0.21754379359442333,1057205.4608591313,1057987.1482799405,0.07393902602186168,"(100, 72)",False,0.0,0.13745133152599245
45,2227,"(118, 36)",0.0051127807009813874,0.4359135388621304,1028483.6986732683,1030476.9356949143,0.19380346273035232,"(100, 72)",False,0.0,0.1771913783447525
46,625,"(115, 145)",0.0013202737528459506,0.10580268453720569,1204445.7100248174,1204506.4018412598,0.005038983155260914,"(100, 72)",False,0.0,0.09690471182437885
47,2882,"(13, 143)",0.0008692008673027864,0.0012195272066174371,1032215.4409259504,1032212.2981476196,-0.0003044692228215996,"(1, 206)",True,0.0005623802236599269,0.12644544041368186
49,547,"(98, 20)",0.0006769346639696588,0.27867368210732796,1045220.0451717196,1045482.3982191762,0.02510026942828964,"(100, 72)",False,0.0,0.1549016337801927
50,4075,"(82, 76)",0.0009887324904227991,0.26382943025378675,2207847.351004569,2208610.1435246114,0.03454915122168382,"(40, 58)",True,5.526999112066119e-05,0.009805819177535155
51,1994,"(146, 172)",0.0030139523441655813,0.38020638082497543,1050750.445790302,1052176.5105151294,0.1357186885373939,"(100, 72)",False,0.0,0.17499792007923579
52,2198,"(13, 116)",0.010359973307972788,0.5392931865301346,1036597.7827167537,1041991.1753318015,0.5202975257107596,"(166, 164)",True,0.0011068323149415781,0.13377105216557417
54,1126,"(118, 36)",0.0051127807009813874,0.4359135388621304,1056126.6415676505,1057992.7218345287,0.1766909566932565,"(40, 58)",True,0.0009678614949215507,0.06768137668772681
55,740,"(58, 13)",0.00042754058738493904,0.0018804941743303443,1219320.1897140623,1219337.9889521918,0.001459767358866825,"(166, 164)",True,0.006998448785324676,0.6691500109964652
56,4585,"(1, 28)",0.0036030215008375477,0.251454812958202,1034633.0531525478,1035729.4850244981,0.10597301802889703,"(24, 94)",True,5.0865532622227845e-05,0.2274608619632894
57,348,"(105, 55)",5.600937217653132e-05,0.1548799552404147,1253857.285104086,1255895.5448286142,0.16255914837700966,"(166, 164)",True,0.003066036423232124,0.025915516590134406
58,4757,"(67, 115)",0.0033885017745241366,0.22706758813658925,1174326.165874552,1174985.6717775296,0.05616036857072913,"(100, 72)",True,0.0021821080686038894,0.11004010041210847
